Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
"7 West Foothill Blvd, Arcadia, CA 91006",34.1511,-118.032669,1,range_interpolation,7,W Foothill Blvd,,,Arcadia,CA,Los Angeles County,91006,US,TIGER/Line® dataset from the US Census Bureau
"19600 Vallco Pkwy Ste 170, Cupertino, CA 95014",37.325289,-122.011923,1,rooftop,19600,Vallco Pkwy,Ste,170,Cupertino,CA,Santa Clara County,95014,US,City of Cupertino
"5343 Prospect Road, San Jose, CA 95129",37.292485,-121.996747,1,range_interpolation,5343,Prospect Rd,,,San Jose,CA,Santa Clara County,95129,US,TIGER/Line® dataset from the US Census Bureau
"5855 Silver Creek Valley Pl, San Jose, CA 95138",37.25549,-121.791098,0.9,rooftop,5855,Silver Creek Valley Pl,,,San Jose,CA,Santa Clara County,95111,US,City of San Jose
"1288 Morro Street, Ste.200, San Luis Obispo, CA 93401",35.279482,-120.660163,1,rooftop,1288,Morro St,Ste,200,San Luis Obispo,CA,San Luis Obispo County,93401,US,City of San Luis Obispo
"4151 Foothill Rd, Santa Barbara, CA 93110",34.451171,-119.761035,1,rooftop,4151,Foothill Rd,,,Santa Barbara,CA,Santa Barbara County,93110,US,Santa Barbara County
"1506 Brookhollow Dr, Santa Ana, CA 92705",33.713281,-117.849198,1,range_interpolation,1506,Brookhollow Dr,,,Santa Ana,CA,Orange County,92705,US,TIGER/Line® dataset from the US Census Bureau
"4440 Calle Real, Santa Barbara, CA 93110",34.442553,-119.778735,1,range_interpolation,4440,Calle Real,,,Santa Barbara,CA,Santa Barbara County,93110,US,TIGER/Line® dataset from the US Census Bureau
"26455 Rockwell Canyon Rd, Santa Clarita, CA 91355",34.404967,-118.573734,1,rooftop,26455,Rockwell Canyon Rd,,,Valencia,CA,Los Angeles County,91355,US,Los Angeles County
"1550 East Main Street, Santa Maria, CA 93454",34.953853,-120.471959,0.8,range_interpolation,1550,State Rte 166,,,Santa Maria,CA,Santa Barbara County,93458,US,TIGER/Line® dataset from the US Census Bureau
"242 East Harvard Blvd, Santa Paula, CA 93060",34.347002,-119.069183,1,range_interpolation,242,E Harvard Blvd,,,Santa Paula,CA,Ventura County,93060,US,TIGER/Line® dataset from the US Census Bureau
"3841 Brickway Blvd , Santa Rosa, CA 95403",38.511839,-122.794562,1,rooftop,3841,Brickway Blvd,,,Santa Rosa,CA,Sonoma County,95403,US,Sonoma County
"10710 North Torrey Pines Rd., La Jolla, CA 92037",32.898926,-117.242973,1,rooftop,10710,N Torrey Pines Rd,,,La Jolla,CA,San Diego County,92037,US,San Diego Geographic Information Source - JPA
"9449 Friars Rd, San Diego, CA 92108",32.781644,-117.120272,1,rooftop,9449,Friars Rd,,,San Diego,CA,San Diego County,92108,US,San Diego Geographic Information Source - JPA
"9450 Ming Avenue, Bakersfield, CA 93311",35.340202,-119.108087,1,rooftop,9450,Ming Ave,,,Bakersfield,CA,Kern County,93311,US,City of Bakersfield
"16111 Plummer Street, North Hills, CA 91343",34.243047,-118.483248,1,rooftop,16111,Plummer St,,,North Hills,CA,Los Angeles County,91343,US,Los Angeles County
"401 3rd Street, San Francisco, CA 94107",37.782704,-122.397386,1,range_interpolation,401,3rd St,,,San Francisco,CA,San Francisco County,94107,US,TIGER/Line® dataset from the US Census Bureau
"11985 Heritage Oak Place, Auburn, CA 95603",38.941544,-121.099387,1,rooftop,11985,Heritage Oak Pl,,,Auburn,CA,Placer County,95603,US,County of Placer
"155 Gladdon Way, Grass Valley, CA 95945",39.196288,-120.95855,0.33,place,,,,,Grass Valley,CA,Nevada County,95945,US,TIGER/Line® dataset from the US Census Bureau
"1227 East Los Angeles Ave, Simi Valley, CA 93065",34.272567,-118.776922,1,rooftop,1227,E Los Angeles Ave,,,Simi Valley,CA,Ventura County,93065,US,Ventura County
"13663 Mono Way, Sonora, CA 95370",37.974713,-120.344953,1,rooftop,13663,Mono Way,,,Sonora,CA,Tuolumne County,95370,US,Tuolumne County
"10455 Sorrento Valley Road, San Diego, CA 92121",32.895405,-117.216682,1,rooftop,10455,Sorrento Valley Rd,,,San Diego,CA,San Diego County,92121,US,San Diego Geographic Information Source - JPA
"1815 Hawthorne Blvd, Redondo Beach, CA 90278",33.87096,-118.354119,0.79,nearest_rooftop_match,1801,Hawthorne Blvd,,,Redondo Beach,CA,Los Angeles County,90278,US,Los Angeles County
"211 Quarry Rd #102, Palo Alto, CA 94305",37.441431,-122.168768,0.9,rooftop,211,Quarry Rd,#,102,Palo Alto,CA,Santa Clara County,94304,US,City of Palo Alto
"52 Skytop St #10, San Jose, CA 95134",37.404009,-121.942181,1,rooftop,52,Skytop St,#,10,San Jose,CA,Santa Clara County,95134,US,Santa Clara County
"7777 South Freedom Rd, French Camp, CA 95231",37.883775,-121.290405,0.33,place,,,,,French Camp,CA,San Joaquin County,95231,US,TIGER/Line® dataset from the US Census Bureau
"741 Main Street, Cedarville, CA 96104",41.532441,-120.171768,1,range_interpolation,741,Main St,,,Cedarville,CA,Modoc County,96104,US,TIGER/Line® dataset from the US Census Bureau
"11815 Education Street, Auburn, CA 95602",38.944437,-121.100444,1,rooftop,11815,Education St,,,Auburn,CA,Placer County,95602,US,County of Placer
"5176 Hill Road, Lakeport, CA 95453",39.104841,-122.907173,1,rooftop,5176,Hill Rd,,,Lakeport,CA,Lake County,95453,US,Lake County
"497 East Calaveras Blvd., Milpitas, CA 95035",37.43278,-121.898092,1,range_interpolation,497,E Calaveras Blvd,,,Milpitas,CA,Santa Clara County,95035,US,TIGER/Line® dataset from the US Census Bureau
"580 North Rengstorff Avenue\nSuite E, Mountain View, CA 94043",37.411477,-122.094315,0.6,rooftop,580,N Rengstorff Ave,,,Mountain View,CA,Santa Clara County,94043,US,Santa Clara County
"1 Medical Center Drive, Roseville, CA 95661",38.766167,-121.249359,0.9,rooftop,1,Medical Plz,,,Roseville,CA,Placer County,95678,US,County of Placer
"240 King Street\nSuite G2, San Francisco, CA 94107",37.777627,-122.393425,1,rooftop,240,King St,,,San Francisco,CA,San Francisco County,94107,US,"City and County of San Francisco, Enterprise Addressing System"
"685 Coleman Avenue, San Jose, CA 95110",37.341815,-121.910999,1,rooftop,685,Coleman Ave,,,San Jose,CA,Santa Clara County,95110,US,Santa Clara County
"3912 Rivermark Plaza, Santa Clara, CA 95054",37.394106,-121.945966,0.6,rooftop,3912,Rivermark Pz,,,Santa Clara,CA,Santa Clara County,95054,US,City of Santa Clara
"2222 Bancroft Way, Berkeley, CA 94720",37.867538,-122.264759,0.9,rooftop,2222,Bancroft Way,,,Berkeley,CA,Alameda County,94704,US,Alameda County
"3900 W Manchester Blvd, Inglewood, CA 90305",33.95828,-118.341889,1,rooftop,3900,W Manchester Blvd,,,Inglewood,CA,Los Angeles County,90305,US,Los Angeles County
"26520 Cactus Ave, Moreno Valley, CA 92555",33.91202,-117.19588,1,rooftop,26520,Cactus Ave,,,Moreno Valley,CA,Riverside County,92555,US,Riverside
"757 Westwood Plaza, Los Angeles, CA 90095",34.066195,-118.445937,0.9,rooftop,757,Westwood Plz,,,Los Angeles,CA,Los Angeles County,90024,US,Los Angeles County
"1234 N Vermont Ave, Los Angeles, CA 90029",34.09399,-118.29154,1,rooftop,1234,N Vermont Ave,,,Los Angeles,CA,Los Angeles County,90029,US,City of Los Angeles
"125 W. Thousand Oaks Blvd, Thousand Oaks, CA 91360",34.17912,-118.880097,1,rooftop,125,W Thousand Oaks Blvd,,,Thousand Oaks,CA,Ventura County,91360,US,Ventura County
"3330 Lomita Blvd, Torrance, CA 90505",33.812352,-118.344411,1,rooftop,3330,Lomita Blvd,,,Torrance,CA,Los Angeles County,90505,US,Los Angeles County
"711 Del Amo Boulevard, Torrance, CA 90502",33.846403,-118.286198,0.9,range_interpolation,711,W Del Amo Blvd,,,Torrance,CA,Los Angeles County,90502,US,TIGER/Line® dataset from the US Census Bureau
"1050 N. Cherry Street, Tulare, CA 93274",36.222809,-119.335663,1,rooftop,1050,N Cherry St,,,Tulare,CA,Tulare County,93274,US,Tulare
"23815 Stuart Ranch Rd Ste 301, Malibu, CA 90265",34.03771,-118.694311,1,range_interpolation,23815,Stuart Ranch Rd,Ste,301,Malibu,CA,Los Angeles County,90265,US,TIGER/Line® dataset from the US Census Bureau
"4560 Admiralty Way Ste 100, Marina del Rey, CA 90292",33.983304,-118.444167,0.5,range_interpolation,4560,Admiralty Way,Ste,100,Marina Del Rey,CA,Los Angeles County,90292,US,TIGER/Line® dataset from the US Census Bureau
"514 N Prospect Ave Ste 103, Redondo Beach, CA 90277",33.852008,-118.378683,1,range_interpolation,514,N Prospect Ave,Ste,103,Redondo Beach,CA,Los Angeles County,90277,US,TIGER/Line® dataset from the US Census Bureau
"27235 Tourney Rd Ste 2500, Santa Clarita, CA 91355",34.423528,-118.579851,0.9,range_interpolation,27235,Tourney Rd,Ste,2500,Valencia,CA,Los Angeles County,91355,US,TIGER/Line® dataset from the US Census Bureau
"1245 16th St Ste 125, Santa Monica, CA 90404",34.0275,-118.485474,1,rooftop,1245,16th St,Ste,125,Santa Monica,CA,Los Angeles County,90404,US,Los Angeles County
"2424 Wilshire Blvd, Santa Monica, CA 90403",34.034324,-118.478957,1,rooftop,2424,Wilshire Blvd,,,Santa Monica,CA,Los Angeles County,90403,US,Los Angeles County
"6344 Topanga Canyon Blvd Ste 2040, Woodland Hills, CA 91367",34.18628,-118.60544,0.9,rooftop,6344,N Topanga Canyon Blvd,Ste,2040,Woodland Hills,CA,Los Angeles County,91367,US,City of Los Angeles
"505 Parnassus Ave, San Francisco, CA 94143",37.763246,-122.45825,0.9,rooftop,505,Parnassus Ave,,,San Francisco,CA,San Francisco County,94131,US,"City and County of San Francisco, Enterprise Addressing System"
"1600 Divisadero St, San Francisco, CA 94143",37.784847,-122.43949,0.9,rooftop,1600,Divisadero St,,,San Francisco,CA,San Francisco County,94115,US,"City and County of San Francisco, Enterprise Addressing System"
"630 Kings Court, Ukiah, CA 95482",39.148467,-123.197519,1,rooftop,630,Kings Ct,,,Ukiah,CA,Mendocino County,95482,US,Mendocino County
"110 Bella Way, Susanville, CA 96130",40.405726,-120.625115,1,rooftop,110,Bella Way,,,Susanville,CA,Lassen County,96130,US,Lassen County
"26001 Redlands Blvd., Redlands, CA 92373",34.062901,-117.23762,1,range_interpolation,26001,Redlands Blvd,,,Redlands,CA,San Bernardino County,92373,US,TIGER/Line® dataset from the US Census Bureau
"11201 Benton Street, Loma Linda, CA 92357",34.051226,-117.252393,1,range_interpolation,11201,Benton St,,,Loma Linda,CA,San Bernardino County,92357,US,TIGER/Line® dataset from the US Census Bureau
"5901 E. 7th Street, Long Beach, CA 90822",33.778458,-118.118733,1,rooftop,5901,E 7th St,,,Long Beach,CA,Los Angeles County,90822,US,Los Angeles County
"10535 Hospital Way, Mather, CA 95655",38.571666,-121.297447,1,range_interpolation,10535,Hospital Way,,,Mather,CA,Sacramento County,95655,US,TIGER/Line® dataset from the US Census Bureau
"3801 Miranda Avenue, Palo Alto, CA 94304",37.405014,-122.140207,1,rooftop,3801,Miranda Ave,,,Palo Alto,CA,Santa Clara County,94304,US,Santa Clara County
"3350 La Jolla Village Drive, San Diego, CA 92161",32.875206,-117.231684,1,rooftop,3350,La Jolla Village Dr,,,San Diego,CA,San Diego County,92161,US,San Diego Geographic Information Source - JPA
"11301 Wilshire Blvd, Los Angeles, CA 90073",34.054729,-118.453956,0.6,street_center,,Wilshire Blvd,,,Los Angeles,CA,Los Angeles County,90073,US,TIGER/Line® dataset from the US Census Bureau
"2721 E. Main Street, Ventura, CA 93003",34.273943,-119.25984,1,rooftop,2721,E Main St,,,Ventura,CA,Ventura County,93003,US,Ventura County
"1600 Exposition Blvd, Sacramento, CA 95815",38.595332,-121.424156,1,range_interpolation,1600,Exposition Blvd,,,Sacramento,CA,Sacramento County,95815,US,TIGER/Line® dataset from the US Census Bureau
"344 Tully Rd, San Jose, CA 95111",37.300123,-121.851559,1,rooftop,344,Tully Rd,,,San Jose,CA,Santa Clara County,95111,US,Santa Clara County
Not Listed,0,0,0,,,,,,,,,,,
Not Listed,0,0,0,,,,,,,,,,,
Not Listed,0,0,0,,,,,,,,,,,
"100 Constitution Ave, Los Angeles, CA 90095",34.118918,-117.547308,0.1,street_center,,Constitution Way,,,Rancho Cucamonga,CA,San Bernardino County,91730,US,TIGER/Line® dataset from the US Census Bureau
"12138 Industrial Boulevard, Victorville,, CA 92395",34.471658,-117.283361,1,rooftop,12138,Industrial Blvd,,,Victorville,CA,San Bernardino County,92395,US,San Bernardino County
"6097 Canoga Ave, Woodland Hills, CA 91367",34.180994,-118.597513,1,range_interpolation,6097,Canoga Ave,,,Woodland Hills,CA,Los Angeles County,91367,US,TIGER/Line® dataset from the US Census Bureau
"7300 Medical Center Dr, West Hills, CA 91307",34.202785,-118.629285,1,rooftop,7300,Medical Center Dr,,,West Hills,CA,Los Angeles County,91307,US,Los Angeles County
"133 W. Santa Clara St., Ventura, CA 93001",34.279988,-119.303066,1,rooftop,133,W Santa Clara St,,,Ventura,CA,Ventura County,93001,US,Ventura County
"9080 Colima Rd, Whittier, CA 90605",33.950381,-118.004619,1,rooftop,9080,Colima Rd,,,Whittier,CA,Los Angeles County,90605,US,Los Angeles County
"425 Plumas Street, Yuba City, CA 95991",39.130885,-121.61296,0.6,rooftop,425,Plumas Blvd,,,Yuba City,CA,Sutter County,95991,US,Sutter
"3890 Quebec St, Denver, CO 80207",39.771027,-104.903344,1,range_interpolation,3890,Quebec St,,,Denver,CO,Denver County,80207,US,TIGER/Line® dataset from the US Census Bureau
"2801 Purcell Street, Brighton, CO 80601",39.976492,-104.78933,1,rooftop,2801,Purcell St,,,Brighton,CO,Adams County,80601,US,Adams
"850 S Monico Pkwy. Ste. 19 , Denver, CO 80224",39.701581,-104.911623,1,rooftop,850,S Monaco Street Pkwy,Ste,19,Denver,CO,Denver County,80224,US,Denver
"777 E Speer Blvd., Denver, CO 80203",39.720578,-104.977939,1,rooftop,777,E Speer Blvd,,,Denver,CO,Denver County,80203,US,Denver
"0377 Sylvan Lake Rd, Eagle, CO 81631",39.643518,-106.836652,0.82,nearest_rooftop_match,377,Sylvan Lake Rd,,,Eagle,CO,Eagle County,81631,US,Eagle
"108 S. Frontage Rd. W., suite 101, Vail, CO 81657",39.643426,-106.38087,1,rooftop,108,S Frontage Rd W,Ste,101,Vail,CO,Eagle County,81657,US,City of Vail
"15132 E Hampden Ave, Suite G, Aurora, CO 80014",39.652081,-104.812346,1,rooftop,15132,E Hampden Ave,Ste,G,Aurora,CO,Arapahoe County,80014,US,City of Aurora
"175 S. Union Blvd, Colorado Springs, CO 80910",38.829627,-104.79223,1,rooftop,175,S Union Blvd,,,Colorado Springs,CO,El Paso County,80910,US,El Paso
Not Listed,0,0,0,,,,,,,,,,,
"1400 Jackson Street, Denver, CO 80206",39.738174,-104.942886,1,range_interpolation,1400,Jackson St,,,Denver,CO,Denver County,80206,US,TIGER/Line® dataset from the US Census Bureau
"11230 Benton St, Westminster, CO 80020",39.900264,-105.054023,1,rooftop,11230,Benton St,,,Broomfield,CO,Jefferson County,80020,US,City of Westminster
"600 W 21st St., Colorado Springs, CO 80904",38.840333,-104.859109,0.9,range_interpolation,600,S 21st St,,,Colorado Springs,CO,El Paso County,80904,US,TIGER/Line® dataset from the US Census Bureau
"1633 Medical Center Point, Colorado Springs, CO 80907",38.875383,-104.795926,1,rooftop,1633,Medical Center Pt,,,Colorado Springs,CO,El Paso County,80907,US,El Paso
"1719 E 19th Ave, Denver, CO 80218",39.746549,-104.966925,1,rooftop,1719,E 19th Ave,,,Denver,CO,Denver County,80218,US,City of Thornton
"10680 Del Mar Parkway, Aurora, CO 80010",39.731386,-104.864967,1,rooftop,10680,E Del Mar Pkwy,,,Aurora,CO,Arapahoe County,80010,US,City of Aurora
"7495 W 29th Ave, Wheatridge, CO 80033",39.759416,-105.08074,1,rooftop,7495,W 29th Ave,,,Wheat Ridge,CO,Jefferson County,80033,US,Jefferson County
"3292 Peoria St, Aurora, CO 80010",39.763681,-104.845388,1,rooftop,3292,Peoria St,,,Aurora,CO,Adams County,80010,US,Adams
"360 Peak One Drive\n1st floor of Medical Office Building, Suite #100, Frisco, CO 80443",39.570159,-106.076249,1,rooftop,360,Peak One Dr,Ste,100,Frisco,CO,Summit County,80443,US,Summit
"1250 S. Buckley Rd N, Aurora, CO 80017",39.693909,-104.789406,1,rooftop,1250,S Buckley Rd,,,Aurora,CO,Arapahoe County,80017,US,City of Aurora
"1 Broadway, Building A, Ste 100, Denver, CO 80203",39.717612,-104.987506,1,range_interpolation,1,Broadway,,,Denver,CO,Denver County,80203,US,TIGER/Line® dataset from the US Census Bureau
"5165 West 72nd Ave, Westminster, CO 80030",39.828696,-105.052829,1,rooftop,5165,W 72nd Ave,,,Westminster,CO,Adams County,80030,US,City of Westminster
"1 Hospital Plaza, Stamford, CT 06902",41.055154,-73.552322,1,rooftop,1,Hospital Plz,,,Stamford,CT,Fairfield County,6902,US,City of Stamford
"831 Boston Post Road, Milford, CT 06460",41.231757,-73.054018,1,rooftop,831,Boston Post Rd,,,Milford,CT,New Haven County,6460,US,City of Milford
"267 Grant St, Bridgeport, CT 06610",41.189525,-73.166502,1,rooftop,267,Grant St,,,Bridgeport,CT,Fairfield County,6610,US,City of Bridgeport
"226 Mill HIll Ave , Bridgeport, CT 06610",41.189434,-73.164929,1,rooftop,226,Mill Hill Ave,,,Bridgeport,CT,Fairfield County,6610,US,City of Bridgeport
"32 Valley St floor d, Bristol, CT 06010",41.676278,-72.947912,1,range_interpolation,32,Valley St,Fl,D,Bristol,CT,Hartford County,6010,US,TIGER/Line® dataset from the US Census Bureau
"145 Queen St, Bristol, CT 06010",41.675791,-72.9374,1,rooftop,145,Queen St,,,Bristol,CT,Hartford County,6010,US,Connecticut Geospatial Information Systems Council
"41 Brewster Rd, Bristol, CT 06010",41.675963,-72.935792,1,range_interpolation,41,Brewster Rd,,,Bristol,CT,Hartford County,6010,US,TIGER/Line® dataset from the US Census Bureau
"540 Litchfield St, Torrington, CT 06790",41.79097,-73.133028,1,range_interpolation,540,Litchfield St,,,Torrington,CT,Litchfield County,6790,US,TIGER/Line® dataset from the US Census Bureau
"460 Shippan Avenue, Stamford, CT 06902",41.044568,-73.523907,1,range_interpolation,460,Shippan Ave,,,Stamford,CT,Fairfield County,6902,US,TIGER/Line® dataset from the US Census Bureau
"95 Locust Avenue, Danbury, CT 06810",41.404868,-73.446888,1,range_interpolation,95,Locust Ave,,,Danbury,CT,Fairfield County,6810,US,TIGER/Line® dataset from the US Census Bureau
"24 Hospital Ave, Danbury, CT 06810",41.405839,-73.446772,1,range_interpolation,24,Hospital Ave,,,Danbury,CT,Fairfield County,6810,US,TIGER/Line® dataset from the US Census Bureau
"200 E Main Street, Stratford, CT 06143",41.202841,-73.116126,0.9,rooftop,200,E Main St,,,Stratford,CT,Fairfield County,6614,US,City of Stratford
"506 Frost Road , Waterbury, CT 06705",41.552875,-73.000098,1,range_interpolation,506,Frost Rd,,,Waterbury,CT,New Haven County,6705,US,TIGER/Line® dataset from the US Census Bureau
"636 Campbell Avenue , West Haven, CT 06516",41.274608,-72.952987,1,rooftop,636,Campbell Ave,,,West Haven,CT,New Haven County,6516,US,Connecticut Geospatial Information Systems Council
"6 Stony Hill Road, Bethel, CT 06801",41.41742,-73.399894,1,rooftop,6,Stony Hill Rd,,,Bethel,CT,Fairfield County,6801,US,Connecticut Geospatial Information Systems Council
"1677 East Main Street, Bridgeport, CT 06608",41.197584,-73.18043,1,range_interpolation,1677,E Main St,,,Bridgeport,CT,Fairfield County,6608,US,TIGER/Line® dataset from the US Census Bureau
"1 Padanaram Road, Danbury, CT 06811",41.414496,-73.457314,1,rooftop,1,Padanaram Rd,,,Danbury,CT,Fairfield County,6811,US,Connecticut Geospatial Information Systems Council
"317 Foxon Road, East Haven, CT 06513",41.324667,-72.836383,1,rooftop,317,Foxon Rd,,,New Haven,CT,New Haven County,6513,US,Connecticut Geospatial Information Systems Council
"525 Tunxis Hill Cut Off, Fairfield, CT 06825",41.177785,-73.240855,1,rooftop,525,Tunxis Hill Cutoff,,,Fairfield,CT,Fairfield County,6825,US,Town of Fairfield
"1700 Dixwell Avenue, Hamden, CT 06514",41.358429,-72.926466,1,range_interpolation,1700,Dixwell Ave,,,Hamden,CT,New Haven County,6514,US,TIGER/Line® dataset from the US Census Bureau
"141A Danbury Road, New Milford, CT 06776",41.554705,-73.417114,1,range_interpolation,141,Danbury Rd,Apt,A,New Milford,CT,Litchfield County,6776,US,TIGER/Line® dataset from the US Census Bureau
"163 Universal Drive North, North Haven, CT 06473",41.360217,-72.870242,1,range_interpolation,163,Universal Dr N,,,North Haven,CT,New Haven County,6473,US,TIGER/Line® dataset from the US Census Bureau
"677 Connecticut Avenue, Norwalk, CT 06854",41.094231,-73.449127,1,rooftop,677,Connecticut Ave,,,Norwalk,CT,Fairfield County,6854,US,City of Norwalk
"109 Boston Post Road, Orange, CT 06477",41.278755,-72.99153,1,rooftop,109,Boston Post Rd,,,Orange,CT,New Haven County,6477,US,Connecticut Geospatial Information Systems Council
"832 Queen Street, Southington, CT 06489",41.639338,-72.874063,1,range_interpolation,832,Queen St,,,Southington,CT,Hartford County,6489,US,TIGER/Line® dataset from the US Census Bureau
"2001 West Main Street, Stamford, CT 06776",41.049341,-73.563871,0.9,rooftop,2001,W Main St,,,Stamford,CT,Fairfield County,6902,US,City of Stamford
"279 Chase Avenue, Waterbury, CT 06704",41.58115,-73.034571,1,rooftop,279,Chase Ave,,,Waterbury,CT,New Haven County,6704,US,City of Waterbury
"5 Perryridge Rd, Greenwich, CT 06830",41.034316,-73.630198,1,rooftop,5,Perryridge Rd,,,Greenwich,CT,Fairfield County,6830,US,Connecticut Geospatial Information Systems Council
"130 Division St, Derby, CT 06418",41.332295,-73.082991,0.6,street_center,,Division St,,,Derby,CT,New Haven County,6418,US,TIGER/Line® dataset from the US Census Bureau
"560 Hudson St , Hartford, CT 06106",41.755756,-72.678303,1,rooftop,560,Hudson St,,,Hartford,CT,Hartford County,6106,US,Ciy of Hartford
"80 Seymour St, Hartford, CT 06102",41.754287,-72.679887,0.9,rooftop,80,Seymour St,,,Hartford,CT,Hartford County,6106,US,Ciy of Hartford
"201 Chestnut Hill Rd, Stafford Springs, CT 06076",41.978855,-72.394764,1,range_interpolation,201,Chestnut Hill Rd,,,Stafford Springs,CT,Tolland County,6076,US,TIGER/Line® dataset from the US Census Bureau
"365 Montauk Ave, New London, CT 06320",41.337034,-72.103813,1,range_interpolation,365,Montauk Ave,,,New London,CT,New London County,6320,US,TIGER/Line® dataset from the US Census Bureau
"435 Lewis Ave, Meriden, CT 06451",41.549873,-72.802368,1,rooftop,435,Lewis Ave,,,Meriden,CT,New Haven County,6451,US,Connecticut Geospatial Information Systems Council
"589 Bedford St, Stamford, CT 06901",41.059168,-73.537226,1,rooftop,589,Bedford St,,,Stamford,CT,Fairfield County,6901,US,City of Stamford
"80 High School Ln, Darien, CT 06820",41.084631,-73.491737,1,rooftop,80,High School Ln,,,Darien,CT,Fairfield County,6820,US,Connecticut Geospatial Information Systems Council
"468 South Ave, New Canaan, CT 06840",41.131321,-73.484915,1,rooftop,468,South Ave,,,New Canaan,CT,Fairfield County,6840,US,Connecticut Geospatial Information Systems Council
"1000 Main St. , Stratford, CT 06614",41.213774,-73.119113,1,range_interpolation,1000,Main St,,,Stratford,CT,Fairfield County,6614,US,TIGER/Line® dataset from the US Census Bureau
"88 North Avenue, Westport, CT 06880",41.408619,-73.455394,0.4,rooftop,88,North St,,,Danbury,CT,Fairfield County,6810,US,Connecticut Geospatial Information Systems Council
"34 Maple St, Norwalk, CT 06856",41.111521,-73.422135,0.9,rooftop,34,Maple St,,,Norwalk,CT,Fairfield County,6850,US,City of Norwalk
"34 Maple St, Norwalk, Norwalk, CT 06850",41.111521,-73.422135,1,rooftop,34,Maple St,,,Norwalk,CT,Fairfield County,6850,US,City of Norwalk
"31 Union St, Vernon, CT 06066",41.866431,-72.450924,1,rooftop,31,Union St,,,Vernon-Rockville,CT,Tolland County,6066,US,Connecticut Geospatial Information Systems Council
"114 Woodland St, Hartford, CT 06105",41.775534,-72.69875,1,rooftop,114,Woodland St,,,Hartford,CT,Hartford County,6105,US,Ciy of Hartford
"56 Franklin St, Waterbury, CT 06706",41.552778,-73.03669,1,rooftop,56,Franklin St,,,Waterbury,CT,New Haven County,6706,US,City of Waterbury
"1000 Asylum Street, Hartford, CT 06105",41.771705,-72.69784,1,range_interpolation,1000,Asylum St,,,Hartford,CT,Hartford County,6105,US,TIGER/Line® dataset from the US Census Bureau
"2800 E Main St, Bridgeport, CT 06606",41.200551,-73.202689,1,range_interpolation,2800,E Main St,,,Bridgeport,CT,Fairfield County,6606,US,TIGER/Line® dataset from the US Census Bureau
"2979 Main St, Bridgeport, CT 06606",41.202774,-73.204387,1,range_interpolation,2979,Main St,,,Bridgeport,CT,Fairfield County,6606,US,TIGER/Line® dataset from the US Census Bureau
"One Hospital Plaza, Stamford, CT 06902",41.060196,-73.544477,1,place,,,,,Stamford,CT,Fairfield County,6902,US,TIGER/Line® dataset from the US Census Bureau
"263 Farmington Avenue, Farmington, CT 06032",41.734182,-72.793791,1,rooftop,263,Farmington Ave,,,Farmington,CT,Hartford County,6032,US,Connecticut Geospatial Information Systems Council
"Hospital Way, Farmington, CT 06032",41.726769,-72.829543,1,place,,,,,Farmington,CT,Hartford County,6032,US,TIGER/Line® dataset from the US Census Bureau
"68 Robbins Street, Waterbury, CT 06708",41.558357,-73.05896,1,range_interpolation,68,Robbins St,,,Waterbury,CT,New Haven County,6708,US,TIGER/Line® dataset from the US Census Bureau
"64 Robbins St, Waterbury, CT 06708",41.562236,-73.059219,1,rooftop,64,Robbins St,,,Waterbury,CT,New Haven County,6708,US,City of Waterbury
"125 Roxbury Rd, Stamford, CT 06902",41.092078,-73.565165,1,rooftop,125,Roxbury Rd,,,Stamford,CT,Fairfield County,6902,US,City of Stamford
"326 Washington St, Norwich, CT 06360",41.543535,-72.086753,1,range_interpolation,326,Washington St,,,Norwich,CT,New London County,6360,US,TIGER/Line® dataset from the US Census Bureau
"150 Sargent Dr, New Haven, CT 06511",41.293115,-72.922686,1,rooftop,150,Sargent Dr,,,New Haven,CT,New Haven County,6511,US,City of New Haven
"1450 Chapel St, New Haven, CT 06511",41.310303,-72.943554,1,rooftop,1450,Chapel St,,,New Haven,CT,New Haven County,6511,US,City of New Haven
"1710 Rhode Island Ave, Washington DC, DC 20036",38.906015,-77.039163,0.9,rooftop,1710,Rhode Island Ave NW,,,Washington,DC,District of Columbia,20036,US,City of Washington
"1525 7th Street, Washington DC, DC 20001",38.910337,-77.021597,0.9,rooftop,1525,7th St NW,,,Washington,DC,District of Columbia,20001,US,City of Washington
"125 Michigan Ave NE, Washington DC, DC 20017",38.927486,-77.004285,1,rooftop,125,Michigan Ave NE,,,Washington,DC,District of Columbia,20017,US,City of Washington
"815 Connecticut Ave NW, Washington DC, DC 20006",38.900969,-77.03798,1,rooftop,815,Connecticut Ave NW,,,Washington,DC,District of Columbia,20006,US,City of Washington
"801 9th St NW, Washington, DC, DC 20001",38.900313,-77.023616,1,rooftop,801,9th St NW,,,Washington,DC,District of Columbia,20001,US,City of Washington
"1101 15th St NW, Washington DC, DC 20005",38.903941,-77.034218,1,rooftop,1101,15th St NW,,,Washington,DC,District of Columbia,20005,US,City of Washington
"2902 Porter Street, NW, Washington DC, DC 20008",38.936663,-77.059623,1,rooftop,2902,Porter St NW,,,Washington,DC,District of Columbia,20008,US,City of Washington
